route,title,template,seo_title,meta_description,publication_status,copy_file
/about,Our story,about,Our story | Splendid Double Glazing,"Meet Splendid Double Glazing, based at 758 Sidcup Road, London. Learn about our approach to design, product selection and installation.",draft copy; client review,content/pages/about.md
/service-areas,Areas we cover,areas-hub,Areas we cover | Splendid Double Glazing,Planning a glazing project in Sidcup or nearby? Contact Splendid Double Glazing with your postcode to confirm coverage and survey availability.,draft copy; client review,content/pages/service-areas.md
/gallery,Inspiration,gallery,Inspiration | Splendid Double Glazing,"Explore window, door and living-space inspiration from Splendid Double Glazing. Architectural images are illustrative design concepts.",draft copy; client review,content/pages/gallery.md
/reviews,Customer reviews,reviews,Customer reviews | Splendid Double Glazing,Find independent customer feedback for Splendid Double Glazing on Sidcup Road and consider what matters when choosing your installer.,draft copy; client review,content/pages/reviews.md
/blog,Advice & ideas,advice-hub,Advice & ideas | Splendid Double Glazing,"Practical window and door guides from Splendid Double Glazing. Explore materials, garden doors and how to prepare for a replacement project.",draft copy; client review,content/pages/blog.md
/contact,Contact us,enquiry,Contact us | Splendid Double Glazing,"Contact Splendid Double Glazing on 020 7998 6802 or info@splendidglazing.co.uk. Find us at 758 Sidcup Road, London, SE9 3NS.",draft copy; client review,content/pages/contact.md
/free-quote,Get a free quote,enquiry,Get a free quote | Splendid Double Glazing,"Tell Splendid Double Glazing about your windows, doors or glazed living-space project. Send your requirements and request a tailored quotation.",draft copy; client review,content/pages/free-quote.md
/estimate-calculator,Quote planner,planner,Quote planner | Splendid Double Glazing,"Plan your glazing enquiry with Splendid Double Glazing. Choose a product, material and quantity to request a tailored written price.",draft copy; client review,content/pages/estimate-calculator.md
/privacy-policy,Privacy notice,legal,Privacy notice | Splendid Double Glazing,"How Splendid Double Glazing handles personal information, website enquiries and privacy requests. Read our privacy notice and contact details.",draft copy; client review,content/pages/privacy-policy.md
/cookie-policy,Cookie notice,legal,Cookie notice | Splendid Double Glazing,"Information about cookies and similar technologies used on the Splendid Double Glazing website, including how to manage your choices.",draft copy; client review,content/pages/cookie-policy.md
/terms-of-service,Website terms,legal,Website terms | Splendid Double Glazing,"Website terms for Splendid Double Glazing, including quotations, illustrative images, external links and business contact details.",draft copy; client review,content/pages/terms-of-service.md
/windows-doors-sidcup,Windows and doors in Sidcup,local-area,Windows and doors in Sidcup | Splendid Double Glazing,Explore windows and doors for your Sidcup home. Contact Splendid Double Glazing to confirm coverage and discuss your project.,coverage to confirm; draft copy,content/pages/windows-doors-sidcup.md
/windows-doors-eltham,Windows and doors in Eltham,local-area,Windows and doors in Eltham | Splendid Double Glazing,Explore windows and doors for your Eltham home. Contact Splendid Double Glazing to confirm coverage and discuss your project.,coverage to confirm; draft copy,content/pages/windows-doors-eltham.md
/windows-doors-bexley,Windows and doors in Bexley,local-area,Windows and doors in Bexley | Splendid Double Glazing,Explore windows and doors for your Bexley home. Contact Splendid Double Glazing to confirm coverage and discuss your project.,coverage to confirm; draft copy,content/pages/windows-doors-bexley.md
/windows-doors-bromley,Windows and doors in Bromley,local-area,Windows and doors in Bromley | Splendid Double Glazing,Explore windows and doors for your Bromley home. Contact Splendid Double Glazing to confirm coverage and discuss your project.,coverage to confirm; draft copy,content/pages/windows-doors-bromley.md
/windows-doors-chislehurst,Windows and doors in Chislehurst,local-area,Windows and doors in Chislehurst | Splendid Double Glazing,Explore windows and doors for your Chislehurst home. Contact Splendid Double Glazing to confirm coverage and discuss your project.,coverage to confirm; draft copy,content/pages/windows-doors-chislehurst.md
/windows-doors-south-east-london,Windows and doors in South East London,local-area,Windows and doors in South East London | Splendid Double Glazing,Explore windows and doors for your South East London home. Contact Splendid Double Glazing to confirm coverage and discuss your project.,coverage to confirm; draft copy,content/pages/windows-doors-south-east-london.md
/windows-doors-kent,Windows and doors in North Kent,local-area,Windows and doors in North Kent | Splendid Double Glazing,Explore windows and doors for your North Kent home. Contact Splendid Double Glazing to confirm coverage and discuss your project.,coverage to confirm; draft copy,content/pages/windows-doors-kent.md
/blog/choosing-your-window-material,uPVC or aluminium: where to begin?,article,uPVC or aluminium: where to begin? | Splendid Double Glazing,"Start with the way you want your home to look, then consider the practical details.",draft copy; client review,content/pages/blog--choosing-your-window-material.md
/blog/bifold-or-sliding-doors,Bifold or sliding? Find your garden connection.,article,Bifold or sliding? Find your garden connection. | Splendid Double Glazing,"Two ways to open up a room, with different advantages for the way you live.",draft copy; client review,content/pages/blog--bifold-or-sliding-doors.md
/blog/planning-your-window-replacement,"Your window project, without the guesswork.",article,"Your window project, without the guesswork. | Splendid Double Glazing",A few useful details can make your first conversation much more productive.,draft copy; client review,content/pages/blog--planning-your-window-replacement.md
